Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Parana/478/2014	EPI1031995	laboratório_central_do_estado_do_paraná___lacen/pr	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Netherlands/213/2019	EPI1366057	erasmus_medical_center	erasmus_medical_center
A/Maine/14/2016	EPI790454	maine_health_and_environmental_testing_laboratory	other_database_import
A/Lisbon/125/2016	EPI773881	instituto_nacional_de_saude	crick_worldwide_influenza_centre
A/Catalonia/NSVH100966098/2019	EPI1364620	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron
A/Wisconsin/74/2018	EPI1452776	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Mississippi/3/2009	EPI216991	mississippi_public_health_laboratory	centers_for_disease_control_and_prevention
A/Moldova/157/2013	EPI487683	national_centre_for_preventive_medicine	national_institute_for_medical_research
A/Georgia/14/2019	EPI1433261	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Nagasaki/15N026/2016	EPI781482	niigata_university	niigata_university
A/HongKong/4416/2019	EPI1670423	government_virus_unit	crick_worldwide_influenza_centre
A/Merzifon/569/2017	EPI1160048	refik_saydam_national_public_health_agency	ministry_of_health_turkey
A/Mie/11/2017	EPI1002823	mie_prefecture_health_and_environment_research_institute	national_institute_of_infectious_diseases_(niid)
A/Tallinn/INS619/2011	EPI408956	?	other_database_import
A/Ghana/FS-339/2010	EPI278353	university_of_ghana	national_institute_for_medical_research
A/Kentucky/26/2019	EPI1441883	kentucky_division_of_laboratory_services	centers_for_disease_control_and_prevention
A/NewMexico/8/2012	EPI375531	new_mexico_department_of_health	centers_for_disease_control_and_prevention
A/NewYork/67/2016	EPI793003	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Ontario/RV1058/2019	EPI1497944	ontario_agency_for_health_protection_and_promotion_(oahpp)	centers_for_disease_control_and_prevention
A/Louisiana/3/2016	EPI732216	louisiana_department_of_health_and_hospitals	centers_for_disease_control_and_prevention
A/Stockholm/58/2017	EPI1192209	public_health_agency_of_sweden	public_health_agency_of_sweden
A/Slovenia/3222/2019	EPI1675045	national_laboratory_for_health_environment_and_food	crick_worldwide_influenza_centre
A/Kazakhstan/156/2016	EPI767931	csee	centers_for_disease_control_and_prevention
A/Kansas/5/2017	EPI942639	kansas_department_of_health_and_environment	centers_for_disease_control_and_prevention
A/Oman/7542/2015	EPI770200	central_public_health_laboratory,_ministry_of_health	crick_worldwide_influenza_centre
A/California/116/2015	EPI691169	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Taiwan/85142/2015	EPI713951	centers_for_disease_control	taiwan_cdc
A/Kentucky/22/2009	EPI239659	kentucky_division_of_laboratory_services	centers_for_disease_control_and_prevention
A/Perth/1025/2018	EPI1319371	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Baleares/2477/2017	EPI1203042	servicio_de_microbiología_hospital_universitario_son_espases	crick_worldwide_influenza_centre
A/Kirishi/RII-518S/2019	EPI1414062	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	who_national_influenza_centre_russian_federation
A/Denmark/323/2020	EPI1675807	statens_serum_institute	statens_serum_institute
A/Arizona/15/2010	EPI309805	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Christchurch/538/2014-egg	EPI748141	canterbury_health_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/ON2054/2009	EPI380321	?	other_database_import
A/Qatar/34-VI-19-0071429/2019	EPI1670499	supreme_health_council	crick_worldwide_influenza_centre
A/Denmark/1792/2018	EPI1332014	?	statens_serum_institute
A/Sakai/8/2016	EPI840968	sakai_city_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Lao/3004/2016	EPI871078	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/England/4640543/2010	EPI403849	microbiology_services_colindale,_public_health_england	other_database_import
A/Perugia/34/2015	EPI598457	istituto_superiore_di_sanità	crick_worldwide_influenza_centre
A/Yokohama/1363/2009	EPI291750	yokohama_city_institute_of_public_health.	national_institute_of_infectious_diseases_(niid)
A/Santiago/108998/2018	EPI1361438	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Argentina/14241/2019	EPI1588735	cemic_university_hospital	centers_for_disease_control_and_prevention
A/Georgia/622/2014	EPI531230	national_centre_for_disease_control_and_public_health	national_institute_for_medical_research
A/Ghana/FS-2328/2009	EPI278395	university_of_ghana	national_institute_for_medical_research
A/NewYork/WC-LVD-14-040/2014	EPI546599	?	other_database_import
A/Kanagawa/ZC1902/2019	EPI1627306	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/England/757/2018	EPI1369917	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Pakistan/394/2015	EPI706258	national_institute_of_health	centers_for_disease_control_and_prevention
A/Luxembourg/19005738/2019	EPI1390232	laboratoire_national_de_santé_	laboratoire_national_de_sant?
A/Singapore/GP2065/2010	EPI385352	?	other_database_import
A/TurksAndCaicos/211/2011	EPI320154	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Ukraine/598/2015	EPI732676	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	centers_for_disease_control_and_prevention
A/Bourgogne/7575/2009	EPI535892	?	institut_pasteur
A/Wrexham/5497/2018	EPI1334011	public_health_wales_microbiology_cardiff	public_health_wales_microbiology_cardiff
A/Singapore/KK738/2010	EPI385874	?	other_database_import
A/California/31/2018	EPI1186350	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Monmouth/6723/2019	EPI1365310	public_health_wales_microbiology_cardiff	public_health_wales_microbiology_cardiff
A/HongKong/419305/2009	EPI313244	?	other_database_import
A/California/24/2020	EPI1705123	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Netherlands/10611/2018	EPI1342701	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Singapore/TT218/2015	EPI722460	ministry_of_health,_singapore	ministry_of_health,_singapore
A/England/560/2016	EPI878544	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Minnesota/23/2018	EPI1214390	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Uganda/856/2014	EPI580184	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Tatarstan/CRIE-218/2016	EPI826960	?	central_research_institute_for_epidemiology
A/Ethiopia/63/2014	EPI564999	ethiopian_health_and_nutrition_research_institute_(ehnri)	centers_for_disease_control_and_prevention
A/NordrheinWestfalen/8/2019	EPI1351586	?	robert_koch_institute_nationales_referenzzentrum_f?r_influenza
A/Newcastle/31/2016	EPI793188	john_hunter_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Malaysia/2072040/2009	EPI374193	?	other_database_import
A/Shanghai-Pudongxin/SWL1233/2010	EPI257759	?	who_chinese_national_influenza_center
A/Idaho/11530/2020	EPI1729364	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/CostaRica/4857/2009	EPI185354	?	centers_for_disease_control_and_prevention
A/Bangladesh/4005/2015	EPI628934	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_and_prev
A/Bolivia/559/2013-egg	EPI466896	instituto_nacional_de_laboratoriosde_salud_(inlasa)	centers_for_disease_control_and_prevention
A/Kuwait/6371/2018	EPI1357345	public_health_laboratory,_virology_unit	centers_for_disease_control_and_prevention
A/Brazil/1203/2012	EPI386031	instituto_adolfo_lutz	centers_for_disease_control_and_prevention
A/Catalonia/NSVH100959748/2019	EPI1443643	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron
A/Lao/F1456/2017	EPI1091643	national_center_for_laboratory_and_epidemiology	national_institute_of_infectious_diseases_(niid)
A/Wisconsin/1/2010-egg	EPI347057	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Brunei/32/2019	EPI1484025	r.i.p.a.s._hospital,_department_of_laboratory_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Vladivostok/122/2019	EPI1547248	ivanovsky_research_institute_of_virology_rams	centers_for_disease_control_and_prevention
A/SouthAustralia/95/2019	EPI1422513	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Italy/FVG-93/2015	EPI598448	istituto_superiore_di_sanità	crick_worldwide_influenza_centre
A/England/221/2019	EPI1491822	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/TimorLeste/41/2019	EPI1542778	laboratório_nacional_da_saúde	who_collaborating_centre_for_reference_and_research_on_influenza
A/Sweden/86/2019	EPI1441133	?	public_health_agency_of_sweden
A/UlanUde/9/2018	EPI1280078	?	who_national_influenza_centre_russian_federation
A/Pennsylvania/273/2017	EPI1137057	pennsylvania_department_of_health	centers_for_disease_control_and_prevention
A/Belize/1834/2018	EPI1350929	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Marrakech/586/2019	EPI1437376	institut_national_d'hygi&egrave;ne	crick_worldwide_influenza_centre
A/Poland/100/2019	EPI1483738	national_institute_of_public_health___national_institute_of_hygiene	crick_worldwide_influenza_centre
A/Hubei-Fancheng/SWL1140/2019-egg	EPI1648999	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Nebraska/16/2016	EPI758423	nebraska_public_health_lab	centers_for_disease_control_and_prevention
A/Fukushima/9FY031/2009	EPI349473	?	other_database_import
A/Portugal/SU81/2015	EPI706951	instituto_nacional_de_saude	crick_worldwide_influenza_centre
A/Norway/2681/2018	EPI1255239	stavanger_universitetssykehus,_avd._for_medisinsk_mikrobiologi	crick_worldwide_influenza_centre
A/Mississippi/9/2019	EPI1382991	mississippi_public_health_laboratory	centers_for_disease_control_and_prevention
A/Oregon/29/2019	EPI1650242	oregon_public_health_laboratory	centers_for_disease_control_and_prevention
A/Jamaica/3426/2018	EPI1255664	university_of_the_west_indies	centers_for_disease_control_and_prevention
A/Myanmar/18M255/2018	EPI1413439	national_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Lithuania/1982/2016	EPI774715	lithuanian_aids_center_laboratory	crick_worldwide_influenza_centre
A/Hue/6/2009	EPI342619	?	other_database_import
A/FrenchGuiana/3078/2013	EPI467225	national_influenza_center_french_guiana_and_french_indies	centers_for_disease_control_and_prevention
A/Bryansk/CRIE-149/2016	EPI826863	?	central_research_institute_for_epidemiology
A/Texas/24/2012	EPI366336	corpus_christi_nueces_county_public_health	centers_for_disease_control_and_prevention
A/NordPasDeCalais/1651/2019	EPI1421506	?	institut_pasteur
A/Niedersachsen/194/2019	EPI1548824	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_f?r_influenza
A/Iquique/60485/2019	EPI1568372	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/NewMexico/11654/2020	EPI1742373	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Oklahoma/3/2012	EPI375525	oklahoma_state_department_of_health	centers_for_disease_control_and_prevention
A/Pavia/62/2011	EPI352928	?	other_database_import
A/Pennsylvania/29/2014	EPI531924	pennsylvania_department_of_health	centers_for_disease_control_and_prevention
A/Michigan/395/2019	EPI1563940	university_of_michigan_sph_epid	centers_for_disease_control_and_prevention
A/Argentina/932/2016	EPI792339	instituto_nacional_de_enfermedades_infecciosas	centers_for_disease_control_and_prevention
A/Stockholm/25/2019	EPI1591220	klinisk_mikrobiologi,_karolinska_universitetslaboratoriet,_karolinska_universitetssjukhuset_solna	public_health_agency_of_sweden
A/Georgia/4472/2009	EPI256018	national_centre_for_disease_control_and_public_health	national_institute_for_medical_research
A/Coyhaique/38403/2019	EPI1547953	instituto_de_salud_publica_de_chile	centers_for_disease_control_and_prevention
A/Bangladesh/1190710014/2019	EPI1608007	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/Bayern/15/2020	EPI1694250	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_f?r_influenza
A/Virginia/50/2016	EPI768342	virginia_division_of_consolidated_laboratories	centers_for_disease_control_and_prevention
A/Taiwan/99867/2009	EPI382462	?	other_database_import
A/Myanmar/17M041P/2017	EPI1260452	national_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Malaysia/RP1648/2018	EPI1359523	institut_penyelidikan_perubatan	who_collaborating_centre_for_reference_and_research_on_influenza
A/DistrictOfColumbia/30/2018	EPI1333288	dc_public_health_lab	centers_for_disease_control_and_prevention
A/Indiana/3/2016	EPI710738	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/NordrheinWestfalen/4/2020	EPI1675697	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_f?r_infl
A/CentralAfricanRepublic/568/2018	EPI1315962	institut_pasteur_de_bangui	crick_worldwide_influenza_centre
A/Manitoba/RV2138/2009	EPI303692	?	other_database_import
A/Florida/54/2019	EPI1480208	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Lisbon/58/2009	EPI272918	?	other_database_import
A/Denmark/259/2020	EPI1675855	statens_serum_institute	statens_serum_institute
A/Nakhonphanom/339/2018	EPI1363344	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	centers_for_disease_control_and_prevention
A/Norway/3750/2018	EPI1354769	who_national_influenza_centre	crick_worldwide_influenza_centre
A/Yokohama/141/2017	EPI1087509	yokohama_city_institute_of_public_health.	national_institute_of_infectious_diseases_(niid)
A/Texas/345/2019	EPI1490699	texas_department_of_state_health_services_laboratory_services	centers_for_disease_control_and_prevention
A/Estonia/118316/2018	EPI1354676	health_protection_inspectorate	crick_worldwide_influenza_centre
A/Oman/7873/2017	EPI1148115	central_public_health_laboratory,_ministry_of_health	crick_worldwide_influenza_centre
A/Dnipropetrovsk/443/2015	EPI625507	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	centers_for_disease_control_and_prevention
A/Dnipropetrovsk/272/2009	EPI232228	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	national_institute_for_medical_research
A/Osaka/10K363/2011	EPI340655	?	other_database_import
A/England/80820625/2018	EPI1203816	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
